V,B,B,B,B,B,B,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
V,B,M,M,M,M,M,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
V,B,M,B,B,B,M,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
V,B,M,B,V,B,M,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
V,B,M,B,V,B,M,B,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
S,M,M,B,V,B,M,B,V,V,V,V,V,V,V,V,B,B,B,B,B,B,B,B
B,B,B,B,V,B,M,B,V,V,V,V,V,V,V,V,B,M,M,M,M,M,M,N
V,V,V,V,V,B,M,B,V,V,V,V,V,V,V,V,B,M,B,B,B,B,B,B
V,V,V,V,V,B,M,B,B,B,B,B,B,B,B,B,B,M,B,V,V,V,V,V
V,V,V,V,V,B,M,M,M,M,M,M,M,M,M,M,M,M,B,V,V,V,V,V
V,V,V,V,V,B,B,B,B,B,B,B,B,B,B,B,B,B,B,V,V,V,V,V
